primary_contact_id,contact_channel,transcript_created_date_at_utc,is_retail_agent,subject,transcript,summary,error,contact_reason,contact_audience,retailer,product,order_id,jira_ticket,notes
Hello,
I think a picker didn't complete out their order last night and the order is still stuck under shopping. Would you be able to complete it for us? The order is for Mary Hinds #18075069763471196<https://dashboard.instacart.com/partners/2250/warehouses/1396/orders/18075069787464512>. She already came to pick up her order. Thank you!

Brittany




ShopWoodman's #01
ShopWoodmans.com
Woodman's Food Markets, Inc.
#01 - Janesville, WI,
608-754-3373<tel:608-754-3373>
[WoodmansLogo200w.jpg]
[cid:532d4fbd-3f12-4f59-8af2-10f53163b594]<https://www.facebook.com/woodmansfood> [cid:92321058-c572-4dcb-9c11-3d2657dbd308] <https://www.linkedin.com/company/woodman's-food-markets>  [cid:1a1c201a-1880-4881-b702-98bbf539c86c] <https://www.twitter.com/woodmansfood>  [cid:50e9401e-813d-40ff-9f14-5077843c7167] <https://www.youtube.com/user/woodmansfood>  [cid:1d167752-10c2-4497-a687-3f530af93203] <https://www.pinterest.com/woodmansfood>
[ww-bronze-horizontal.png]
This e-mail and attachment(s) may contain information that is privileged, confidential, and/or exempt from disclosure under applicable law. If the reader of this message is not the intended recipient, you are hereby notified that any dissemination, distribution, or copy of this message is strictly prohibited. If received in error, please notify the sender immediately and delete/destroy the message and any copies thereof. Although Woodman’s Food Markets, Inc. and/or its affiliates (collectively ""Woodman’s"") attempt to prevent the passage of viruses via e-mail and attachments thereto, Woodman’s does not guarantee that either are virus-free, and accepts no liability for any damage sustained as a result of any such viruses.

To unsubscribe from this group and stop receiving emails from it, send an email to retailsupport+unsubscribe@instacart.com.

=== NEXT MESSAGE ===

Message 2 (2025-09-23 16:27:37.000 Z):
Hey team,

Looks like the order was never staged last night. Can we discuss the proper
process with Owin?

In order for me to move it forward, can we confirm whether the below items
were picked/purchased for the order:

   - Cher-make sausage company original ring bologna
   - Dawn platinum powerwash dish soap refill
   - Doritos nacho cheese flavored 10 pack
   - Old fashion bakery vienna bread

Thanks in advance!


On Tue, Sep 23, 2025 at 12:27 PM ShopWoodman's #01 <SW.01@woodmans-food.com>
wrote:

> Hello,
> I think a picker didn't complete out their order last night and the order
> is still stuck under shopping. Would you be able to complete it for us? The
> order is for Mary Hinds #18075069763471196
> <https://dashboard.instacart.com/partners/2250/warehouses/1396/orders/18075069787464512>.
> She already came to pick up her order. Thank you!
>
> Brittany
>
>
>
>
>
> *ShopWoodman's #01 **ShopWoodmans.com*
> Woodman's Food Markets, Inc.
> #01 - Janesville, WI,
> 608-754-3373
> [image: WoodmansLogo200w.jpg]
> <https://www.facebook.com/woodmansfood>
> <https://www.linkedin.com/company/woodman's-food-markets>
> <https://www.twitter.com/woodmansfood>
> <https://www.youtube.com/user/woodmansfood>
> <https://www.pinterest.com/woodmansfood>
> [image: ww-bronze-horizontal.png]
> This e-mail and attachment(s) may contain information that is privileged,
> confidential, and/or exempt from disclosure under applicable law. If the
> reader of this message is not the intended recipient, you are hereby
> notified that any dissemination, distribution, or copy of this message is
> strictly prohibited. If received in error, please notify the sender
> immediately and delete/destroy the message and any copies thereof. Although
> Woodman’s Food Markets, Inc. and/or its affiliates (collectively
> ""Woodman’s"") attempt to prevent the passage of viruses via e-mail and
> attachments thereto, Woodman’s does not guarantee that either are
> virus-free, and accepts no liability for any damage sustained as a result
> of any such viruses.
>
>
>

-- 

Jenn O'Shaughnessy | she/her
Manager, Partner Ops - Fulfillment

To unsubscribe from this group and stop receiving emails from it, send an email to retailsupport+unsubscribe@instacart.com.

=== NEXT MESSAGE ===

Message 3 (2025-09-23 16:27:37.000 Z):
Yes we will be talking to him about that. And I'm not sure, but if those items were part of the finish up batch for this morning then no she didn't receive them. We never got the finish up batch for this order since it wasn't staged.



ShopWoodman's #01
ShopWoodmans.com
Woodman's Food Markets, Inc.
#01 - Janesville, WI,
608-754-3373<tel:608-754-3373>
[WoodmansLogo200w.jpg]
[cid:ii_1997777ec63ba60e6852]<https://www.facebook.com/woodmansfood> [cid:ii_1997777ec63430cb9d33] <https://www.linkedin.com/company/woodman's-food-markets>  [cid:ii_1997777ec63dfa037494] <https://www.twitter.com/woodmansfood>  [cid:ii_1997777ec636d3521905] <https://www.youtube.com/user/woodmansfood>  [cid:ii_1997777ec63bcb24b76] <https://www.pinterest.com/woodmansfood>
[ww-bronze-horizontal.png]
This e-mail and attachment(s) may contain information that is privileged, confidential, and/or exempt from disclosure under applicable law. If the reader of this message is not the intended recipient, you are hereby notified that any dissemination, distribution, or copy of this message is strictly prohibited. If received in error, please notify the sender immediately and delete/destroy the message and any copies thereof. Although Woodman’s Food Markets, Inc. and/or its affiliates (collectively ""Woodman’s"") attempt to prevent the passage of viruses via e-mail and attachments thereto, Woodman’s does not guarantee that either are virus-free, and accepts no liability for any damage sustained as a result of any such viruses.


________________________________
From: Jenn O'Shaughnessy <jennosh@instacart.com>
Sent: Tuesday, September 23, 2025 11:50 AM
To: ShopWoodman's #01 <SW.01@woodmans-food.com>
Cc: Karl Prudhomme <karl.prudhomme@instacart.com>; Karolina Kaleta <karolina.kaleta@instacart.com>; Retail Support <retailsupport@instacart.com>; Dan Hess <dan.hess@woodmans-food.com>
Subject: Re: Order Stuck in Shopping


CAUTION: This email originated from outside of the organization. Do not click links or open attachments unless you recognize the sender and know the content is safe.


Hey team,

Looks like the order was never staged last night. Can we discuss the proper process with Owin?

In order for me to move it forward, can we confirm whether the below items were picked/purchased for the order:

  *   Cher-make sausage company original ring bologna
  *   Dawn platinum powerwash dish soap refill
  *   Doritos nacho cheese flavored 10 pack
  *   Old fashion bakery vienna bread

Thanks in advance!


On Tue, Sep 23, 2025 at 12:27 PM ShopWoodman's #01 <SW.01@woodmans-food.com<mailto:SW.01@woodmans-food.com>> wrote:
Hello,
I think a picker didn't complete out their order last night and the order is still stuck under shopping. Would you be able to complete it for us? The order is for Mary Hinds #18075069763471196<https://dashboard.instacart.com/partners/2250/warehouses/1396/orders/18075069787464512>. She already came to pick up her order. Thank you!

Brittany




ShopWoodman's #01
ShopWoodmans.com
Woodman's Food Markets, Inc.
#01 - Janesville, WI,
608-754-3373<tel:608-754-3373>
[WoodmansLogo200w.jpg]
[cid:ii_1997777ec63ba60e6852]<https://www.facebook.com/woodmansfood> [cid:ii_1997777ec63430cb9d33] <https://www.linkedin.com/company/woodman's-food-markets>  [cid:ii_1997777ec63dfa037494] <https://www.twitter.com/woodmansfood>  [cid:ii_1997777ec636d3521905] <https://www.youtube.com/user/woodmansfood>  [cid:ii_1997777ec63bcb24b76] <https://www.pinterest.com/woodmansfood>
[ww-bronze-horizontal.png]
This e-mail and attachment(s) may contain information that is privileged, confidential, and/or exempt from disclosure under applicable law. If the reader of this message is not the intended recipient, you are hereby notified that any dissemination, distribution, or copy of this message is strictly prohibited. If received in error, please notify the sender immediately and delete/destroy the message and any copies thereof. Although Woodman’s Food Markets, Inc. and/or its affiliates (collectively ""Woodman’s"") attempt to prevent the passage of viruses via e-mail and attachments thereto, Woodman’s does not guarantee that either are virus-free, and accepts no liability for any damage sustained as a result of any such viruses.



--

[https://lh5.googleusercontent.com/bXMibee9N5bI72uYB7ShKKuYJyNNQbZN_UO5VgImNzcMt19LCqTq0lchzQNngcR2oA2IPX68qpPRUjUXqLXdThPXgttIPXnKBcmrUP_q72LlSrjmJ16fNhTRIIPetH3Nd1EKTYSv]

Jenn O'Shaughnessy | she/her
Manager, Partner Ops - Fulfillment

To unsubscribe from this group and stop receiving emails from it, send an email to retailsupport+unsubscribe@instacart.com.

=== NEXT MESSAGE ===

Message 4 (2025-09-23 16:27:37.000 Z):
Thanks! I refunded those four items and completed the order.

On Tue, Sep 23, 2025 at 1:00 PM ShopWoodman's #01 <SW.01@woodmans-food.com>
wrote:

> Yes we will be talking to him about that. And I'm not sure, but if those
> items were part of the finish up batch for this morning then no she didn't
> receive them. We never got the finish up batch for this order since it
> wasn't staged.
>
>
>
>
> *ShopWoodman's #01 **ShopWoodmans.com*
> Woodman's Food Markets, Inc.
> #01 - Janesville, WI,
> 608-754-3373
> [image: WoodmansLogo200w.jpg]
> <https://www.facebook.com/woodmansfood>
> <https://www.linkedin.com/company/woodman's-food-markets>
> <https://www.twitter.com/woodmansfood>
> <https://www.youtube.com/user/woodmansfood>
> <https://www.pinterest.com/woodmansfood>
> [image: ww-bronze-horizontal.png]
> This e-mail and attachment(s) may contain information that is privileged,
> confidential, and/or exempt from disclosure under applicable law. If the
> reader of this message is not the intended recipient, you are hereby
> notified that any dissemination, distribution, or copy of this message is
> strictly prohibited. If received in error, please notify the sender
> immediately and delete/destroy the message and any copies thereof. Although
> Woodman’s Food Markets, Inc. and/or its affiliates (collectively
> ""Woodman’s"") attempt to prevent the passage of viruses via e-mail and
> attachments thereto, Woodman’s does not guarantee that either are
> virus-free, and accepts no liability for any damage sustained as a result
> of any such viruses.
>
>
> ------------------------------
> *From:* Jenn O'Shaughnessy <jennosh@instacart.com>
> *Sent:* Tuesday, September 23, 2025 11:50 AM
> *To:* ShopWoodman's #01 <SW.01@woodmans-food.com>
> *Cc:* Karl Prudhomme <karl.prudhomme@instacart.com>; Karolina Kaleta <
> karolina.kaleta@instacart.com>; Retail Support <
> retailsupport@instacart.com>; Dan Hess <dan.hess@woodmans-food.com>
> *Subject:* Re: Order Stuck in Shopping
>
>
> CAUTION: This email originated from outside of the organization. Do not
> click links or open attachments unless you recognize the sender and know
> the content is safe.
>
> Hey team,
>
> Looks like the order was never staged last night. Can we discuss the
> proper process with Owin?
>
> In order for me to move it forward, can we confirm whether the below items
> were picked/purchased for the order:
>
>    - Cher-make sausage company original ring bologna
>    - Dawn platinum powerwash dish soap refill
>    - Doritos nacho cheese flavored 10 pack
>    - Old fashion bakery vienna bread
>
> Thanks in advance!
>
>
> On Tue, Sep 23, 2025 at 12:27 PM ShopWoodman's #01 <
> SW.01@woodmans-food.com> wrote:
>
> Hello,
> I think a picker didn't complete out their order last night and the order
> is still stuck under shopping. Would you be able to complete it for us? The
> order is for Mary Hinds #18075069763471196
> <https://dashboard.instacart.com/partners/2250/warehouses/1396/orders/18075069787464512>.
> She already came to pick up her order. Thank you!
>
> Brittany
>
>
>
>
>
> *ShopWoodman's #01 **ShopWoodmans.com*
> Woodman's Food Markets, Inc.
> #01 - Janesville, WI,
> 608-754-3373
> [image: WoodmansLogo200w.jpg]
> <https://www.facebook.com/woodmansfood>
> <https://www.linkedin.com/company/woodman's-food-markets>
> <https://www.twitter.com/woodmansfood>
> <https://www.youtube.com/user/woodmansfood>
> <https://www.pinterest.com/woodmansfood>
> [image: ww-bronze-horizontal.png]
> This e-mail and attachment(s) may contain information that is privileged,
> confidential, and/or exempt from disclosure under applicable law. If the
> reader of this message is not the intended recipient, you are hereby
> notified that any dissemination, distribution, or copy of this message is
> strictly prohibited. If received in error, please notify the sender
> immediately and delete/destroy the message and any copies thereof. Although
> Woodman’s Food Markets, Inc. and/or its affiliates (collectively
> ""Woodman’s"") attempt to prevent the passage of viruses via e-mail and
> attachments thereto, Woodman’s does not guarantee that either are
> virus-free, and accepts no liability for any damage sustained as a result
> of any such viruses.
>
>
>
>
> --
>
> Jenn O'Shaughnessy | she/her
> Manager, Partner Ops - Fulfillment
>
>

-- 

Jenn O'Shaughnessy | she/her
Manager, Partner Ops - Fulfillment

To unsubscribe from this group and stop receiving emails from it, send an email to retailsupport+unsubscribe@instacart.com.",Retailer reported an order stuck in shopping and requested assistance to complete it.,,Order Status and Delivery Issues :: Order Status Updates,Retailer / Retailer Account Manager,Woodman's Food Markets,,18075069763471196,,The retailer also mentioned discussing proper processes with a team member and confirmed missing items due to the order not being staged.
291f65bf-34bc-4d44-9ec1-ea142e07715c,phone,2025-09-22 22:27:11.651,1,,"[22:27:11 agent]: hi thank you for calling the cart rico support this is denise who do i have the pleasure of speaking with
[22:27:12 retailer]: okay
[22:27:17 retailer]: hi i am calling because
[22:27:21 retailer]: i ordered groceries to the wrong store
[22:27:24 retailer]: and i wanted to like move it to another store
[22:27:29 agent]: so what is it name
[22:27:29 retailer]: so i called i called
[22:27:31 retailer]: someone
[22:27:33 agent]: okay what is your phone number
[22:27:38 retailer]: oh the order the order is under is not under swn it's under a different name should i give you that name
[22:27:45 agent]: no give me the phone number of the order that it was placed under
[22:27:50 retailer]: nine o nine six six zero one one five zero i think
[22:28:01 agent]: so let me try to pull up the order
[22:28:09 agent]: i'm not pulling any orders up for today
[22:28:12 agent]: do you know who the order was placed under
[22:28:16 retailer]: it's fra f a r a a z
[22:28:26 agent]: okay
[22:28:29 agent]: and you said nine o nine six six o one one five zero
[22:28:34 retailer]: right i'm not sure if i if i had put down a
[22:28:37 retailer]: a number am i able to give you an email
[22:28:41 agent]: i don't see any order with that phone number i see faz but it there's no order under that name
[22:28:52 retailer]: yeah i mean i called public and they said that they would cancel it
[22:28:57 retailer]: they cancelled it and that i needed to call you guys so that you guys could cancel it
[22:29:03 agent]: even if it was cancelled simone it would still show up in our system but there was no order placed under that name
[22:29:13 retailer]: is there any other way to like look it up because it said it says on the i'm looking at the website right now it says your order is ready for pickup
[22:29:22 agent]: do you have an order number
[22:29:34 agent]: cause yeah even if you placed the order it would show up in the system if even if it was cancelled do you have a email address maybe it was placed under
[22:29:47 retailer]: yeah i just don't have access to that email account it was through work like i was doing it for a work thing i do have the email though if that helps you look it up
[22:29:58 agent]: yeah you can give me that
[22:30:00 retailer]: okay it's new link which is n u l i n k
[22:30:07 retailer]: that
[22:30:08 retailer]: india one
[22:30:11 retailer]: at gmail dot com
[22:30:17 agent]: let me see if it's under
[22:30:32 agent]: so it's under link india
[22:30:37 agent]: that's the name and center
[22:30:40 retailer]: oh so you were able to find it
[22:30:43 agent]: yeah i believe so
[22:30:45 retailer]: okay
[22:30:49 agent]: it's under a different phone number as well
[22:30:52 retailer]: yeah that's like there's a there's it's like a corporate number
[22:30:56 retailer]: but i don't like i they get the one time text like
[22:31:02 retailer]: sorry it can't get it
[22:31:13 agent]: so the order needs to be cancelled
[22:31:16 retailer]: yes
[22:31:33 agent]: and this is the order placed for pick up at two zero three nine hendrix avenue
[22:31:40 retailer]: yeah i would prefer to pick it up at a different store if you're able to do that but i just i accidentally just booked it for the wrong store instead of the one that was okay
[22:31:51 agent]: yeah unfortunately we just have to go ahead and cancel it because we can't change the location of the story yeah you would have to cancel it and place it at the correct store
[22:32:01 retailer]: okay cancelling it is fine are you able to cancel it
[22:32:04 agent]: yeah go ahead let me go ahead and cancel the order bear with me
[22:32:16 agent]: give me one minute
[22:32:43 agent]: bye
[22:32:52 agent]: okay
[22:33:06 agent]: okay so i've gone ahead and cancel this order simone is there anything else i can do
[22:33:14 retailer]: do you know when it'll show up is cancelled because it says it's still ready for pickup
[22:33:20 agent]: you should get a notification
[22:33:29 retailer]: okay i see it alright thank you
[22:33:32 retailer]: okay
[22:33:32 agent]: okay anything else
[22:33:34 retailer]: no i'm good thank you
[22:33:36 agent]: alright thank you have a great day
[22:33:38 retailer]: you too",Retailer requested to cancel an order placed at the wrong store and inquired about moving it to a different location.,,Order Cancellations and Modifications :: Customer-Initiated Cancellations,Retailer / Retailer Account Manager,Publix,,,,
37ed23ba-4ffd-4475-80ee-41e50107da7a,phone,2025-10-18 21:51:54.932,1,,"[21:51:54 agent]: thank you for calling inst retail support this is mara who am i speaking with
[21:51:59 retailer]: her casa this is marjorie from kroger customer connec and i do have a customer on the backline that would like to confirm the updated delivery schedule for the order here's what happened as by the customer the driver who supposedly will be delivered there order advised them that
[21:52:19 retailer]: they're having car issues reason why the order will be delayed and ask for the customer they have initially reached out you as well concerning to the updated delivery schedule for their order however as to the customer
[21:52:39 retailer]: called us to confirm if the",Retailer reported a customer's inquiry about an updated delivery schedule due to a driver's car issues causing a delay.,,Order Status and Delivery Issues :: Delayed Deliveries,Retailer / Retailer Account Manager,Kroger,,,,
500Uc00000fBPDMIA4,email,2025-07-25 18:31:23.000,1,10378269 BJ’s SDD Order – WANDA MORING,"Message 1 (2025-07-25 18:31:22.000 Z):
Hello, we received the following complaint about a BJ’s same-day delivery order.





Issue: The driver left the order at the porch, and she's in a wheelchair. Don't have a way to get the order and wants a refund.





Don't want the same driver. Did not contact her so she can get the items or ask for help. Please check the member's feedback.

 

Member’s Name: WANDA MORING

Cell phone number on the order: 7345307294

Member’s Email: mikechris734@gmail.com (javascript:;)

Was the order placed on BJs.com or Instacart’s site: BJs.com 





Order Number: 266111576





Thank you,

Rea

BJ's Member Care Services

Ticket 10378269















Conversation ID: 8e9df994-6985-11f0-bad9-8d3a7bf631f7 8e9df994-6985-11f0-bad9-8d3a7bf631f7 cd2bf03

To unsubscribe from this group and stop receiving emails from it, send an email to retailsupport+unsubscribe@instacart.com.

=== NEXT MESSAGE ===

Message 2 (2025-07-25 18:31:22.000 Z):
Hi Team,

I am reaching out from Instacart Partner Support regarding an incident with a recent order. Please accept our sincerest apologies for the inconvenience and frustration experienced by the customer.

I want to assure you that the matter has been taken seriously, and I have personally notated the customer's account for further review. Additionally, I have taken steps to prevent any recurrence by banning the shopper from fulfilling any of Wanda's future orders.

For your reference, the case number for this incident is: 59847662

If you have any other questions or need more help, please feel free to reach out to me.
--------------- Original Message ---------------
From: BJ's Member Care [support@bjssupport.zendesk.com]
Sent: 7/25/2025, 2:31 PM
To: retailsupport@instacart.com
Subject: 10378269 BJ’s SDD Order – WANDA MORING

Hello, we received the following complaint about a BJ’s same-day delivery order.
Issue: The driver left the order at the porch, and she's in a wheelchair. Don't have a way to get the order and wants a refund.
Don't want the same driver. Did not contact her so she can get the items or ask for help. Please check the member's feedback.
Member’s Name: WANDA MORING
Cell phone number on the order: 7345307294
Member’s Email: mikechris734@gmail.com (javascript:;)
Was the order placed on BJs.com or Instacart’s site: BJs.com
Order Number: 266111576
Thank you,
Rea
BJ's Member Care Services
Ticket 10378269
‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌  Conversation ID: 8e9df994-6985-11f0-bad9-8d3a7bf631f7 8e9df994-6985-11f0-bad9-8d3a7bf631f7 cd2bf03


To unsubscribe from this group and stop receiving emails from it, send an email to retailsupport+unsubscribe@instacart.com.


Siquoya
Instacart Partner Support

thread::SnIt7EecMcqRFuxTtcrh3Sk::","Retailer reported a delivery issue where the driver left the order inaccessible to a customer in a wheelchair, requesting a refund and shopper reassignment.",,Shopper Issues :: Shopper Reassignment,Retailer / Retailer Account Manager,BJ's,Storefront,266111576,,"The customer requested not to have the same driver assigned in the future, and the shopper has been banned from fulfilling their orders."
500Uc00000Yp9nGIAR,email,2025-05-13 22:27:57.000,1,Product Name Corrections - May13,"Message 1 (2025-05-13 22:27:57.000 Z):
Hello, please see the following items requiring name corrections.

1 UPC 628011040008 Additional Notes
Current Product Name Beef Burgers New Product Name Beef Burgers
Current Brand Top Grass Cattle Co. New Brand Top Grass
2 UPC 628011040206 Additional Notes
Current Product Name Top Grass Fed Beef Breakfast Sausage New Product Name Beef
Breakfast Sausage
Current Brand ---- New Brand Top Grass
3 UPC 628011040008 Additional Notes
Current Product Name Mild Top Grass Beef Sausage New Product Name Beef
Sausage Mild
Current Brand ---- New Brand Top Grass
4 UPC 628634740262 Additional Notes change unit to '4'
Current Product Name Non-Alcoholic Gin & Tonic New Product Name Non-Alcoholic
Gin & Tonic
Current Brand Aelo OPUS New Brand Aelo
5 UPC 628634740309 Additional Notes change unit to '4'
Current Product Name Non-Alcoholic Peach Bellini New Product Name Non-Alcoholic
Peach Bellini
Current Brand Aelo OPUS New Brand Aelo
6 UPC 628634740286 Additional Notes change unit to '4'
Current Product Name Non-Alcoholic Aperitivo Spritz New Product Name
Non-Alcoholic
Aperitivo Spritz
Current Brand Aelo OPUS New Brand Aelo
7 UPC 628634740323 Additional Notes
Current Product Name Lime Margarita New Product Name Non-Alcoholic Lime
Margarita
Current Brand aelo New Brand Aelo
8 UPC 628678617056 Additional Notes add ""Gluten Free"" attribute
Current Product Name Nut Based Cereal New Product Name Chocolate Granola
Current Brand Farm Girl New Brand Farm Girl
9 UPC 628678617094 Additional Notes add ""Gluten Free"" attribute
Current Product Name Banana Caramel Loaf Mix New Product Name
Current Brand Farm Girl New Brand
10 UPC 628678617032 Additional Notes add ""Gluten Free"" attribute
Current Product Name Keto Mix Cinnamon Maple Keto Cereal New Product
Name Cinnamon
Maple Granola
Current Brand Farm Girl New Brand Farm Girl
11 UPC 628678617018 Additional Notes add ""Gluten Free"" attribute
Current Product Name Nut Based Cereal New Product Name Salted Caramel
Granola
Current Brand Farm Girl New Brand Farm Girl
12 UPC 628678617582 Additional Notes add ""Gluten Free"" attribute
Current Product Name Chocolate Puffs New Product Name
Current Brand Farm Girl New Brand
13 UPC 628678617568 Additional Notes
Current Product Name Cinnamon Crisp Cereal New Product Name Cinnamon Crisps
Current Brand Farm Girl New Brand Farm Girl
14 UPC 628678617711 Additional Notes add ""Gluten Free"" attribute
Current Product Name Honey Os New Product Name
Current Brand Farm Girl New Brand
15 UPC 628678617544 Additional Notes add ""Gluten Free"" attribute
Current Product Name Rainbow Hoops New Product Name
Current Brand Farm Girl New Brand
16 UPC 628678617117 Additional Notes add ""Gluten Free"" attribute and change
size to ""350g""
Current Product Name Gluten Free Lemon Poppy Seed Loaf Mix New Product
Name Lemon
Poppy Seed Loaf Mix
Current Brand Farm Girl New Brand Farm Girl
17 UPC 628678617070 Additional Notes add ""Gluten Free"" attribute
Current Product Name Keto Pancake & Waffle Mix New Product Name
Current Brand Farm Girl New Brand

Thank you,

-- 
*Calle MacDonald*
E-commerce Lead
*Amaranth Whole Foods Market*
*""Your local health foods store""*
403-208-3446
www.amaranthfoods.ca

-- 
You received this message because you are subscribed to the Google Groups ""Portfolio Management"" group.
To unsubscribe from this group and stop receiving emails from it, send an email to portfoliomanagement+unsubscribe@instacart.com.
To view this discussion visit https://groups.google.com/a/instacart.com/d/msgid/portfoliomanagement/CAJLBBu5VhpZp%2BBgC1icW_MXH9vQwwioRkUOpv4i6esuyHJJfRQ%40mail.gmail.com.

=== NEXT MESSAGE ===

Message 2 (2025-05-13 22:27:57.000 Z):
Hello Calle,

Thank you for reaching out with your request. I'm Audrey from Instacart Partner Support, and I’ll assist you today.

